,title,company,location,salary,summary
589,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
590,"Data Scientist, Machine Learning",Carta,"Waterloo, ON",,You will own significant projects directly aligning with Carta's company-wide initiatives of data products and data quality.
591,Data Scientist,Vretta Inc.,"Toronto, ON•Remote",,"At least three years of experience in an applied data science role.Demonstrated statistical, machine learning, and data science skills."
592,Data Scientist Inter,Nestlé,"North York, ON",,"Will explore data, answering questions and finding new business opportunities.Experience with data visualization tools is a plus (QlikView, Microsoft BI)."
593,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
594,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
595,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
596,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
597,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
598,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
599,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
600,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
601,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
602,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
603,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
604,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
605,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
606,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
607,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
608,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
609,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
610,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
611,Data Engineer / ML Engineer,GrantMatch Corp.,"Toronto, ON•Remote","$80,000 a year",Create a comprehensive data catalogue of this financial data.SQL/PostgreSQL and data model design (logical & physical data models).
612,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
613,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
614,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
615,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
616,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
617,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
618,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
619,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
620,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
621,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
622,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
623,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
624,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
625,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
626,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
627,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
628,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
629,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
630,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
631,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
632,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
633,Data Scientist - Vretta Inc.,The Career Foundation,"Toronto, ON",,"Demonstrated statistical, machine learning, and data science skills.Must have at least three years of experience in an applied data science role."
634,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
635,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
636,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
637,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
638,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
639,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
640,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
641,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
642,Data Engineer / ML Engineer,GrantMatch Corp.,"Toronto, ON•Remote","$80,000 a year",Create a comprehensive data catalogue of this financial data.SQL/PostgreSQL and data model design (logical & physical data models).
643,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
644,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
645,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
646,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
647,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
648,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
649,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
650,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
651,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
652,Data Scientist,Government of Saskatchewan,"Regina, SK","$6,911 - $8,986 a month","Typically, the knowledge and abilities required for this position would be obtained through the completion of a degree in social science, statistics or data…"
653,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
654,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
655,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
656,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
657,Data Scientist - Vretta Inc.,The Career Foundation,"Toronto, ON",,"Demonstrated statistical, machine learning, and data science skills.Must have at least three years of experience in an applied data science role."
658,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
659,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
660,Data Scientist,apptoza inc,"Toronto, ON•Temporarily Remote",,Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.Extract data from multiple sources.
661,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
662,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
663,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
664,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
665,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
666,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
667,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
668,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
669,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
670,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
671,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
672,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
673,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
674,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
675,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
676,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
677,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
678,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
679,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
680,"Data Scientist, Machine Learning",Carta,"Waterloo, ON",,You will own significant projects directly aligning with Carta's company-wide initiatives of data products and data quality.The Company You'll Join.
681,Data Scientist,Vretta Inc.,"Toronto, ON•Remote",,"At least three years of experience in an applied data science role.Demonstrated statistical, machine learning, and data science skills."
682,Data Scientist Inter,Nestlé,"North York, ON",,"Will explore data, answering questions and finding new business opportunities.Experience with data visualization tools is a plus (QlikView, Microsoft BI)."
683,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
684,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
685,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
686,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
687,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
688,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
689,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
690,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
691,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
692,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
693,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
694,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
695,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
696,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
697,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
698,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
699,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
700,Senior Data Analyst,TELUS Communications,Ontario•Temporarily Remote,$80 an hour,Strong analytical skills to pull insights from quantitative and qualitative data sets.Comfortable with manipulating data BI tools.
701,Principal Statistical Programmer,SCiAN Services Inc.,"Etobicoke, ON",,Perform data checks (quality control) as needed to ensure integrity and accuracy of data displays.Support CDM group in validation of clinical data.
702,"21570, 21571 Senior Financial Planning & Decision Support An...",Canadian Nuclear Laboratories,"Chalk River, ON",,"Knowledge of trends and developments in the fields of data management and data analytics.Demonstrated experience with developing data strategy, policies, and…"
703,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
704,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
705,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
706,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
707,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
708,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
709,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
710,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
711,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
712,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
713,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
714,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
715,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
716,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
717,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
718,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
719,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
720,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
721,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
722,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
723,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
724,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
725,Senior Data Analyst,TELUS Communications,Ontario•Temporarily Remote,$80 an hour,Strong analytical skills to pull insights from quantitative and qualitative data sets.Comfortable with manipulating data BI tools.
726,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
727,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
728,Data Scientist,Government of Saskatchewan,"Regina, SK","$6,911 - $8,986 a month","Typically, the knowledge and abilities required for this position would be obtained through the completion of a degree in social science, statistics or data…"
729,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
730,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
731,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
732,Data Analyst,Cognizant Technology Solutions,"Mississauga, ON",,"2-7years of professional experience with data analysis, database design or data mining or equivalent combination of transferrable experience and education in…"
733,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
734,Computer Vision Engineer,(AI)RM Consulting Ltd.,"Winnipeg, MB•Remote","$75,000 - $115,000 a year","Translate business requirements into conceptual, logical, and physical data models.Collaborate with product managers, software engineers, and engineering data…"
735,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
736,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
737,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
738,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
739,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
740,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
741,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
